Site,Community,County,Statute Mile,Riverbank,Latitude,Longitude,Cartop Launch,Trailered Launch,Campsite,Day Use Site,Kayak Storage Racks,Restroom/Privy,Picnicking/Grills,Dining/Restaurant,Retail/Supplies,Lodging,Bus Service,Train Service,Trail,Swimming,Fishing,Hunting,Trapping,Bird Watching,Golf,Concerts/events,Playground,Tour Boat Service,Natural & Cultural Resources,Historic Resources,Visitor-Nature Center/Museum,Location
Waryas Park,City of Poughkeepsie,Dutchess,76,E,41.706944,-73.940278,HL,TL,,DU,,Y,Y,Y,Y,,,Y,Y,,,,,,,Y,,,,,Y,"(41.706944, -73.940278)"
Parelli Park Boat Launch,Village of Piermont,Rockland ,25.5,W,41.042222,-73.915278,HL,,,DU,,,Y,,,,,,,Y,Y,,,,,,,,Y,Y,,"(41.042222, -73.915278)"
Whitehall Harbor,Village of Whitehall,Washington,218.03,W,43.550833,-73.402222,HL,TL,,DU,,,,,,,,,,,Y,,,,,,,,,,,"(43.550833, -73.402222)"
Stony Point Battlefield State Historic Site,Town of Stony Point,Rockland ,40.3,W,41.24,-73.974722,HL,,,DU,2,Y,Y,,,,,,Y,,,,,,,Y,,,Y,Y,Y,"(41.24, -73.974722)"
"Fort Edward, Lock C-7 lower end",Village of Fort Edward,Saratoga,194.7,E,43.255556,-73.585,HL,TL,,DU,,,Y,,,,,,,,Y,,,,,,,,,,,"(43.255556, -73.585)"
Town of Saratoga Rt 4 Launch,Town of Saratoga,Saratoga ,178.1,W,43.036111,-73.592222,HL,,,DU,,,,,,,,,,,Y,,,,,,,,,,,"(43.036111, -73.592222)"
Charles Rider Park,Town of Ulster,Ulster,94.7,W,41.972778,-73.955,HL,TL,,DU,,Y,,,,,,,,,Y,,,,,,,,Y,,,"(41.972778, -73.955)"
Stockport Landing,Town of Stockport,Columbia ,122,E,42.309167,-73.771944,HL,,,DU,,,,,,,,,,,Y,,,,,,,,Y,,,"(42.309167, -73.771944)"
Forbes Avenue Boat Launch,City of Rensselaer,Rensselaer ,146.7,E,42.658611,-73.734444,HL,TL,,DU,2,,Y,,,,,Y,,,,,,,,,,,Y,,,"(42.658611, -73.734444)"
Nutten Hook Research Reserve,Town of Stuyvesant,Columbia ,124,E,42.353889,-73.788611,HL,,,DU,,,Y,,,,,,Y,,Y,Y,Y,,,,,,Y,Y,,"(42.353889, -73.788611)"
Municipal Boat Launch,City of Albany,Albany ,146.3,W,42.656944,-73.741667,HL,TL,,DU,2,Y,Y,Y,Y,Y,,,Y,,,,,,,Y,,,Y,Y,,"(42.656944, -73.741667)"
Glasco Mini Park,Town of Saugerties,Ulster,100.1,W,42.040556,-73.941389,HL,TL,,DU,2,,Y,,,,,,,,Y,,,,,,,,Y,,,"(42.040556, -73.941389)"
Halfmoon Lighthouse Park,Town of Halfmoon,Saratoga ,162,W,42.838611,-73.671667,HL,,,DU,2,Y,Y,,,,,,Z,,Y,,,,,,,,Y,,,"(42.838611, -73.671667)"
